12a_0095	6	{1,-2,3,4,-2,4,1,5,-2,5,3,-4,5}
12a_0096	5	{1,2,2,3,4,-3,1,4,1,-2,3,3,3,3}
12a_0097	6	{1,2,3,4,4,5,3,5,2,-4,5,-3,2,1,-2}
12a_0098	5	{1,-2,-2,3,1,1,-2,3,-4,3,-4,3}
12a_0099	5	{1,-2,-2,3,-4,1,1,-2,3,-4,-4,3}
12a_0100	6	{-1,2,2,-3,-4,-5,-3,4,2,1,-5,2,-3,4,-3,2,-4}
12a_0101	5	{1,2,2,1,1,-2,-3,4,-3,2,-3,-3,4,-3}
12a_0102	5	{1,2,2,3,1,3,-4,1,3,-2,3,4,4,3}
12a_0103	6	{-1,2,-3,4,-1,4,5,3,5,2,-3,-4,5,2,-3}
12a_0104	5	{1,-2,-2,-3,4,-1,4,-1,-3,-2,-2,3,4,-2}
12a_0105	5	{1,2,2,1,1,-2,-3,4,2,4,-3,4,4,4}
12a_0106	6	{1,-2,1,2,3,3,2,2,-3,-4,5,3,5,-4,5}
12a_0107	5	{1,2,2,3,-4,3,1,3,1,-2,3,4,4,3}
12a_0108	5	{1,2,2,1,1,-2,-3,4,2,-3,-3,4,-3,4}
12a_0109	6	{-1,-2,3,4,-2,4,-1,5,2,5,-3,-3,-3,-4,5}
12a_0110	6	{1,-2,3,4,1,-2,1,4,5,3,5,-4,5}
12a_0111	5	{1,2,2,1,1,-2,-3,4,2,-3,4,-3,4,4}
12a_0112	5	{1,-2,-2,3,-4,1,1,-2,3,-4,-4,-4}
12a_0113	5	{1,-2,-2,3,1,3,4,1,2,-3,2,4,-3,-2}
12a_0114	6	{-1,2,3,4,-1,4,5,3,5,3,4,2,-3,-4,5}
12a_0115	5	{1,2,2,1,1,-2,-3,4,-3,-3,2,-3,4,-3}
12a_0116	5	{1,-2,-2,-3,1,1,2,3,-4,-2,-2,3,-2,-4}
12a_0117	6	{1,-2,-3,1,2,2,-3,4,2,4,5,3,5,-4,5}
12a_0118	6	{-1,2,-3,-4,-1,2,-4,5,5,-4,-3,4,5}
12a_0119	5	{1,-2,-2,3,1,3,4,1,2,-3,-2,4,4,3}
12a_0120	5	{1,2,2,1,1,-2,-3,4,-3,-3,4,2,-3,4}
12a_0121	6	{-1,-2,3,-4,-2,-4,-1,5,2,5,3,-4,5}
12a_0122	5	{1,-2,-2,3,-4,1,1,-2,-2,-2,3,-4}
12a_0123	5	{-1,2,-3,-1,-3,2,-3,4,-3,-3,-3,4}
12a_0124	6	{-1,2,-3,-1,-3,2,-3,4,5,-3,-4,5,-4}
12a_0125	7	{-1,2,3,-1,3,4,-5,6,2,-3,-4,-4,-5,6}
12a_0126	5	{-1,2,-3,-1,-3,4,2,4,-3,4,-3,4}
12a_0127	6	{-1,2,3,-1,3,4,2,4,4,-5,-3,4,-5}
12a_0128	7	{-1,2,3,-1,3,4,5,-6,2,-3,-4,5,4,-6}
12a_0129	5	{-1,2,-3,-1,-3,4,2,4,4,-3,4,4}
12a_0130	6	{1,-2,1,2,-3,-3,4,-5,2,2,-3,4,-5}
12a_0131	5	{-1,2,-1,2,-3,4,-3,-3,4,-3,4,-2,-2,3}
12a_0132	5	{-1,2,-1,2,-3,4,-3,4,-3,4,-2,4,-2,3}
12a_0133	5	{-1,2,-3,-1,-3,4,2,-3,4,-3,-3,4}
12a_0134	5	{-1,2,-1,2,-3,-3,-4,-2,-2,3,3,3,-4,3}
12a_0135	6	{-1,2,-1,2,-3,-3,-2,-2,3,-4,-5,3,4,-5,4}
12a_0136	5	{-1,2,-3,-1,2,-3,2,4,-3,-3,-3,4}
12a_0137	5	{-1,2,-3,-1,2,-3,2,-3,-3,4,-3,4}
12a_0138	5	{-1,2,-3,-1,2,-3,2,4,-3,4,4,4}
12a_0139	5	{-1,2,-3,-1,2,-3,2,4,4,-3,4,-3}
12a_0140	6	{-1,2,-3,-1,2,-3,2,4,5,-3,-4,5,4}
12a_0141	5	{1,2,2,1,1,-2,-3,2,-3,-3,4,-3,4,-3}
12a_0142	5	{1,2,2,1,1,-2,-3,4,2,4,4,-3,4,-3}
12a_0143	4	{1,1,1,1,1,2,2,3,1,3,-2,3,1}
12a_0144	5	{1,2,2,3,1,1,-2,3,3,3,4,-3,4,3}
12a_0145	5	{1,2,2,3,1,1,-2,3,4,4,4,-3,4,3}
12a_0146	3	{1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2}
12a_0147	4	{-1,-2,-2,3,3,-2,-2,-2,-2,-2,-1,2,3}
12a_0148	4	{-1,-1,-1,-2,-2,3,3,-2,-2,-2,-1,2,3}
12a_0149	5	{1,2,2,1,1,-2,-3,2,-3,4,-3,4,4,-3}
12a_0150	5	{1,-2,-2,3,1,1,-2,-3,-4,-3,-4,-3,-2,3,-2,4}
12a_0151	6	{1,2,-3,4,4,5,5,-4,-3,4,2,5,1,-2,-3}
12a_0152	6	{1,2,3,4,4,5,3,5,-4,5,3,2,1,-2,-3}
12a_0153	5	{1,-2,-2,1,1,-2,-2,-2,-3,-4,2,3,-4,-3}
12a_0154	6	{-1,-2,3,4,2,4,2,5,3,-1,5,2,-4,5,3}
12a_0155	6	{-1,2,2,-3,4,-3,4,-5,-4,3,2,1,-4,5,2,-3,2}
12a_0156	6	{1,1,2,-1,2,3,-2,-2,-4,3,2,5,4,4,3,5,5}
12a_0157	5	{1,2,2,1,1,-2,-3,4,-3,4,2,-3,-3,-3}
12a_0158	5	{1,2,2,1,1,-2,-3,4,2,4,4,4,-3,4}
12a_0159	6	{1,2,-3,4,2,4,5,5,-4,-3,2,4,1,5,-2}
12a_0160	4	{-1,-1,-1,-1,-1,-2,-2,3,3,-2,-1,2,3}
12a_0161	5	{1,-2,-2,1,1,-2,-3,2,-3,-3,-4,3,-4,-3}
12a_0162	6	{-1,2,2,3,-2,-1,3,4,2,4,5,3,5,-4,5}
12a_0163	6	{1,2,-3,2,-3,1,-3,4,-2,4,5,3,5,-4,5}
12a_0164	5	{1,2,2,1,1,-2,-3,4,2,4,-3,-3,-3,4}
12a_0165	6	{1,-2,-3,4,1,4,5,5,-4,-3,4,-2,1,5,3}
12a_0166	5	{1,2,2,1,1,-2,-3,-3,-3,4,2,4,-3,4}
12a_0167	4	{-1,-1,2,3,-1,-1,-1,-2,-2,3,3,-2,-1}
12a_0168	5	{-1,2,-1,-2,-3,4,4,-3,-3,-3,4,-2,-2,3}
12a_0169	6	{-1,2,-1,-2,-3,-4,5,5,-4,-3,4,5,-2,-2,3}
12a_0170	6	{-1,2,3,-1,3,4,2,-3,4,-5,4,-5,4}
12a_0171	6	{-1,2,3,-1,3,4,-5,2,-3,4,-5,-5,4}
12a_0172	5	{-1,2,-3,-1,-3,2,-3,-3,-3,4,-3,4}
12a_0173	5	{-1,2,-3,-1,-3,2,-3,4,-3,4,4,4}
12a_0174	5	{-1,2,-3,-1,-3,2,-3,4,4,-3,4,-3}
12a_0175	6	{-1,2,-3,4,-1,4,3,-4,5,-4,2,-4,-3,-5,-5}
12a_0176	6	{-1,2,-3,-1,-3,2,-3,4,5,-3,-4,5,4}
12a_0177	6	{-1,2,-3,-1,-3,2,-3,4,-3,4,-5,-4,3,-4,5}
12a_0178	6	{-1,2,3,-1,3,4,-5,2,-3,4,-5,-5,-5}
12a_0179	5	{-1,2,-3,-1,-3,4,2,-3,4,4,4,4}
12a_0180	6	{-1,2,-3,-1,-3,4,2,-3,4,5,-4,5,4}
12a_0181	7	{-1,2,3,-1,-2,3,2,-4,5,-6,3,-4,5,-6}
